-color_sensor_targrt:20.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:15.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:15.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,
Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],
0.01,7.84,0,0,0,0,0,,0.003,7.82,0,0,0,0,0,,0.003,7.793,0,0,0,0,0,,0.003,7.803,29,0,0,0,0,,0.003,7.792,0,0,0,0,0,,0.003,7.761,36,0,0,0,0,,0.003,7.793,13,0,0,0,0,,0.003,9.151,38,0,0,0,0,,0.003,9.081,2,0,0,0,0,,0.003,8.975,0,0,0,0,0,,0.003,8.994,17,0,0,0,0,,0.003,8.991,8,0,0,0,0,,0.007,8.836,0,0,0,0,0,,0.007,8.78,0,0,0,0,0,,0.007,8.721,0,0,0,0,0,,0.007,8.427,0,0,0,0,0,,0.011,8.146,0,0,0,0,0,,0.011,8.136,0,0,0,0,0,,0.011,8.077,24,0,0,0,0,,0.004,8.029,36,0,0,0,0,,0.004,8.087,0,0,0,0,0,,0.004,8.066,40,0,0,0,0,,0.004,8.048,0,0,0,0,0,,0.004,8.01,0,0,0,0,0,,0.004,7.981,29,0,0,0,0,,0.004,7.989,0,0,0,0,0,28,,0.008,7.95,0,0,0,0,0,50,,0.008,7.921,0,0,0,0,0,255,,0.008,7.892,0,0,0,0,0,255,,0.003,8.115,36,0,0,0,0,255,,0.001,7.842,60,0,0,0,0,47,,0.001,7.817,40,0,0,0,0,34
0.004,7.849,0,0,0,0,0,,0.001,7.781,0,0,0,0,0,,0.001,7.8,0,0,0,0,0,,0.001,7.818,28,0,0,0,0,,0.007,7.81,0,0,0,0,0,,0.001,7.78,35,0,0,0,0,,0.001,7.762,14,0,0,0,0,,0.006,9.215,37,0,0,0,0,,0.001,9.127,2,0,0,0,0,,0.001,8.999,0,0,0,0,0,,0.001,9.04,18,0,0,0,0,,0.001,8.946,8,0,0,0,0,,0.009,8.864,0,0,0,0,0,,0.009,8.756,0,0,0,0,0,,0.009,8.756,0,0,0,0,0,,0.009,8.403,0,0,0,0,0,,0.006,8.162,0,0,0,0,0,,0.006,8.144,0,0,0,0,0,,0.01,8.123,24,0,0,0,0,,0.003,8.073,36,0,0,0,0,,0.003,8.169,0,0,0,0,0,,0.003,8.102,39,0,0,0,0,,0.01,8.102,0,0,0,0,0,,0.003,8.081,0,0,0,0,0,,0.009,8.063,29,0,0,0,0,,0.003,8.053,0,0,0,0,0,28,,0.01,8.068,0,0,0,0,0,51,,0.011,8.032,0,0,0,0,0,255,,0.011,7.983,0,0,0,0,0,255,,0.005,8.124,37,0,0,0,0,48,,0.005,8.029,60,0,0,0,0,47,,0.008,7.946,40,0,0,0,0,34
0.009,7.838,0,0,0,0,0,,0.01,7.845,0,0,0,0,0,,0.01,7.783,0,0,0,0,0,,0.01,7.826,28,0,0,0,0,,0.005,7.816,0,0,0,0,0,,0.01,7.788,34,0,0,0,0,,0.01,7.843,13,0,0,0,0,,0.002,9.299,38,0,0,0,0,,0.005,9.191,4,0,0,0,0,,0.007,9.073,0,0,0,0,0,,0.01,9.124,18,0,0,0,0,,0.001,9.102,8,0,0,0,0,,0.006,8.937,0,0,0,0,0,,0.006,8.881,0,0,0,0,0,,0.006,8.868,0,0,0,0,0,,0.011,8.565,0,0,0,0,0,,0.01,8.302,0,0,0,0,0,,0.01,8.292,0,0,0,0,0,,0.005,8.233,25,0,0,0,0,,0.002,8.185,36,0,0,0,0,,0.008,8.243,0,0,0,0,0,,0.002,8.176,38,0,0,0,0,,0.009,8.214,0,0,0,0,0,,0.002,8.165,0,0,0,0,0,,0.008,8.144,29,0,0,0,0,,0.01,8.183,0,0,0,0,0,28,,0.01,8.162,0,0,0,0,0,52,,0.007,8.125,0,0,0,0,0,255,,0.003,8.085,0,0,0,0,0,255,,0.011,8.124,37,0,0,0,0,50,,0.011,8.133,59,0,0,0,0,47,,0.004,8.113,40,0,0,0,0,34
0.005,7.908,0,0,0,0,0,,0.002,7.897,0,0,0,0,0,,0.008,7.731,0,0,0,0,0,,0.002,7.887,28,0,0,0,0,,0.002,7.869,0,0,0,0,0,,0.008,7.841,33,0,0,0,0,,0.008,7.861,13,0,0,0,0,,0.006,9.364,38,0,0,0,0,,0.002,9.305,6,0,0,0,0,,0.005,9.167,0,0,0,0,0,,0.008,9.227,18,0,0,0,0,,0.01,9.101,8,0,0,0,0,,0.006,9.031,0,0,0,0,0,,0.006,8.694,0,0,0,0,0,,0.006,8.867,0,0,0,0,0,,0.01,8.621,0,0,0,0,0,,0.01,8.253,0,0,0,0,0,,0.007,8.07,0,0,0,0,0,,0.01,8.235,25,0,0,0,0,,0.001,8.035,35,0,0,0,0,,0.007,7.993,0,0,0,0,0,,0.009,8.111,35,0,0,0,0,,0.008,8.129,0,0,0,0,0,,0.001,7.99,0,0,0,0,0,,0.007,7.839,28,0,0,0,0,,0.009,7.996,0,0,0,0,0,29,,0.01,7.929,0,0,0,0,0,52,,0.003,7.947,0,0,0,0,0,255,,0.006,7.892,0,0,0,0,0,255,,0.006,8.114,37,0,0,0,0,49,,0.007,7.898,57,0,0,0,0,47,,0.011,7.898,44,0,0,0,0,34
0.009,7.785,0,0,0,0,0,,0.011,7.76,0,0,0,0,0,,0.006,7.799,0,0,0,0,0,,0.011,7.835,27,0,0,0,0,,0.011,7.697,0,0,0,0,0,,0.006,7.674,32,0,0,0,0,,0.006,7.843,14,0,0,0,0,,0.002,9.365,47,0,0,0,0,,0.011,8.979,5,0,0,0,0,,0.002,8.816,0,0,0,0,0,,0.006,8.846,18,0,0,0,0,,0.008,8.891,6,0,0,0,0,,0.005,8.56,0,0,0,0,0,,0.006,8.505,0,0,0,0,0,,0.006,8.507,0,0,0,0,0,,0.001,8.247,0,0,0,0,0,,0.007,8.16,0,0,0,0,0,,0.002,8.053,0,0,0,0,0,,0.005,8.261,23,0,0,0,0,,0.006,8.203,41,0,0,0,0,,0.006,8.074,0,0,0,0,0,,0.003,8.231,41,0,0,0,0,,0.007,7.748,0,0,0,0,0,,0.011,7.997,0,0,0,0,0,,0.006,8.066,29,0,0,0,0,,0.008,7.95,0,0,0,0,0,29,,0.01,8.022,0,0,0,0,0,52,,0.006,7.957,0,0,0,0,0,255,,0.007,8.001,0,0,0,0,0,255,,0.011,8.124,36,0,0,0,0,49,,0.003,8.065,61,0,0,0,0,47,,0.007,8.02,47,0,0,0,0,34
0.003,7.841,0,0,0,0,0,,0.009,7.809,0,0,0,0,0,,0.002,7.644,0,0,0,0,0,,0.009,7.87,29,0,0,0,0,,0.009,7.826,0,0,0,0,0,,0.002,7.823,26,0,0,0,0,,0.002,7.821,12,0,0,0,0,,0.011,9.319,43,0,0,0,0,,0.002,9.135,21,0,0,0,0,,0.011,8.988,0,0,0,0,0,,0.01,9.189,17,0,0,0,0,,0.001,9.072,7,0,0,0,0,,0.006,8.965,0,0,0,0,0,,0.005,8.732,1,0,0,0,0,,0.006,8.857,0,0,0,0,0,,0.003,8.564,0,0,0,0,0,,0.002,8.18,0,0,0,0,0,,0.008,8.207,0,0,0,0,0,,0.01,8.262,24,0,0,0,0,,0.003,8.083,39,0,0,0,0,,0.003,8.169,0,0,0,0,0,,0.002,8.167,41,0,0,0,0,,0.006,8.055,0,0,0,0,0,,0.01,8.089,0,0,0,0,0,,0.003,7.931,30,0,0,0,0,,0.002,8.034,0,0,0,0,0,28,,0.01,8.086,0,0,0,0,0,52,,0.007,8.012,0,0,0,0,0,255,,0.01,7.843,0,0,0,0,0,255,,0.007,8.124,37,0,0,0,0,49,,0.011,8.048,60,0,0,0,0,45,,0.003,8.085,48,0,0,0,0,34
0.003,7.874,0,0,0,0,0,,0.007,7.853,0,0,0,0,0,,0.011,7.861,0,0,0,0,0,,0.007,7.844,26,0,0,0,0,,0.007,7.815,0,0,0,0,0,,0.008,7.72,29,0,0,0,0,,0.011,7.852,10,0,0,0,0,,0.009,9.271,43,0,0,0,0,,0.011,8.94,23,0,0,0,0,,0.009,8.997,0,0,0,0,0,,0.002,8.883,17,0,0,0,0,,0.01,8.955,8,0,0,0,0,,0.006,8.774,0,0,0,0,0,,0.006,8.871,1,0,0,0,0,,0.006,8.672,0,0,0,0,0,,0.005,8.389,0,0,0,0,0,,0.008,8.026,0,0,0,0,0,,0.009,7.92,0,0,0,0,0,,0.002,8.169,25,0,0,0,0,,0.002,8.223,38,0,0,0,0,,0.002,8.078,0,0,0,0,0,,0.001,8.231,40,0,0,0,0,,0.003,8.056,0,0,0,0,0,,0.009,7.991,0,0,0,0,0,,0.002,8.163,29,0,0,0,0,,0.001,8.033,0,0,0,0,0,28,,0.01,8.041,0,0,0,0,0,52,,0.01,7.948,0,0,0,0,0,255,,0.007,8.038,0,0,0,0,0,255,,0.003,8.124,37,0,0,0,0,49,,0.007,8.001,60,0,0,0,0,46,,0.008,7.991,43,0,0,0,0,255
0.008,7.816,0,0,0,0,0,,0.005,7.787,0,0,0,0,0,,0.002,7.782,0,0,0,0,0,,0.005,7.863,30,0,0,0,0,,0.005,7.733,0,0,0,0,0,,0.002,7.84,31,0,0,0,0,,0.002,7.81,9,0,0,0,0,,0.007,9.384,45,0,0,0,0,,0.009,9.088,26,0,0,0,0,,0.007,8.767,0,0,0,0,0,,0.011,9.142,16,0,0,0,0,,0.008,9.082,8,0,0,0,0,,0.006,8.947,0,0,0,0,0,,0.005,8.799,1,0,0,0,0,,0.006,8.827,0,0,0,0,0,,0.006,8.509,0,0,0,0,0,,0.003,8.189,0,0,0,0,0,,0.004,8.234,0,0,0,0,0,,0.008,8.187,23,0,0,0,0,,0.001,8.065,34,0,0,0,0,,0.003,8.06,0,0,0,0,0,,0.011,8.139,40,0,0,0,0,,0.002,8.111,0,0,0,0,0,,0.003,7.979,0,0,0,0,0,,0.003,7.912,29,0,0,0,0,,0.011,7.96,0,0,0,0,0,30,,0.01,8.134,0,0,0,0,0,52,,0.002,8.114,0,0,0,0,0,51,,0.01,7.834,0,0,0,0,0,255,,0.01,8.124,37,0,0,0,0,49,,0.003,8.065,59,0,0,0,0,52,,0.004,8.058,38,0,0,0,0,255
0.002,7.889,0,0,0,0,0,,0.002,7.881,0,0,0,0,0,,0.011,7.816,0,0,0,0,0,,0.002,7.853,26,0,0,0,0,,0.002,7.842,0,0,0,0,0,,0.011,7.762,28,0,0,0,0,,0.002,7.843,10,0,0,0,0,,0.005,9.345,43,0,0,0,0,,0.007,9.074,24,0,0,0,0,,0.011,9.045,0,0,0,0,0,,0.009,9.012,17,0,0,0,0,,0.006,8.99,8,0,0,0,0,,0.006,8.808,0,0,0,0,0,,0.006,8.935,2,0,0,0,0,,0.003,8.746,0,0,0,0,0,,0.003,8.436,0,0,0,0,0,,0.009,7.983,0,0,0,0,0,,0.01,7.921,0,0,0,0,0,,0.003,8.261,23,0,0,0,0,,0.011,8.213,31,0,0,0,0,,0.002,8.232,0,0,0,0,0,,0.001,8.204,35,0,0,0,0,,0.001,8.163,0,0,0,0,0,,0.002,8.099,0,0,0,0,0,,0.002,8.117,30,0,0,0,0,,0.01,8.153,0,0,0,0,0,28,,0.01,8.032,0,0,0,0,0,52,,0.005,7.967,0,0,0,0,0,50,,0.002,8.039,0,0,0,0,0,255,,0.006,8.124,37,0,0,0,0,49,,0.01,7.974,59,0,0,0,0,52,,0.011,8.094,32,0,0,0,0,255
0.007,7.83,0,0,0,0,0,,0.011,7.813,0,0,0,0,0,,0.009,7.792,0,0,0,0,0,,0.007,7.871,30,0,0,0,0,,0.009,7.852,0,0,0,0,0,,0.009,7.831,30,0,0,0,0,,0.011,7.809,13,0,0,0,0,,0.005,9.345,44,0,0,0,0,,0.005,9.191,23,0,0,0,0,,0.009,8.841,0,0,0,0,0,,0.007,9.188,15,0,0,0,0,,0.002,9.111,7,0,0,0,0,,0.006,8.892,0,0,0,0,0,,0.006,8.833,2,0,0,0,0,,0.005,8.81,0,0,0,0,0,,0.006,8.592,0,0,0,0,0,,0.004,8.227,0,0,0,0,0,,0.005,8.233,0,0,0,0,0,,0.004,8.207,25,0,0,0,0,,0.01,8.091,27,0,0,0,0,,0.009,8.03,0,0,0,0,0,,0.011,8.157,32,0,0,0,0,,0.011,8.081,0,0,0,0,0,,0.001,8.026,0,0,0,0,0,,0.003,8.163,29,0,0,0,0,,0.009,8.005,0,0,0,0,0,30,,0.01,8.142,0,0,0,0,0,52,,0.003,8.106,0,0,0,0,0,50,,0.005,8.049,0,0,0,0,0,255,,0.008,8.124,37,0,0,0,0,52,,0.006,8.039,59,0,0,0,0,52,,0.007,8.039,30,0,0,0,0,255
